Product Name	Associated Patent(s)	Table Number
CK3A	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 8014354; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749; 7121467; 7027037; 6859190	1
CK3B	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 8014354; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749; 7121467; 7027037; 6859190	1
CK3N	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749; 7121467; 7027037; 6859190	1
CK3R	11763112; 11734531; 10756900; 10573333; 10306051; 9974080; 9554384; 9386133; 9123479; 9104930; 8916789; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 8014354; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749; 7121467; 7027037; 6859190	1
CK3RA	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749; 7121467; 7027037; 6859190	1
CK3X	11763112; 11734531; 10756900; 10573333; 10306051; 9974080; 9554384; 9386133; 9123479; 9104930; 8916789; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 8014354; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749; 7121467; 7027037; 6859190	1
CK3XA	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749; 7121467; 7027037; 6859190	1
CK60 Handheld Computers	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 8014354; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
CK61 Handheld Computers	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 8065443; 8014354; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
CK65 Handheld Computer	11763112; 11734531; 11637745; 11010575; 10976891; 10958863; 10957660; 10949634; 10868958; 10789435; 10735684; 10721429; 10691907; 10602339; 10331929; 10306051; 10296770; 10272784; 10268850; 10204252; 10171767; 10152622; 10120675; 10115069; 10097681; 10075997; 10049075; 10043042; 10037510; 10025968; 10002272; 9996720; 9990520; 9954871; 9940497; 9930142; 9930050; 9924006; 9922219; 9892356; 9891257; 9844158; 9830488; 9826458; 9818013; 9794392; 9785815; 9785811; 9775190; 9773139; 9755703; 9754147; 9740904; 9723215; 9715614; 9679168; 9672398; 9665757; 9659203; 9659200; 9659199; 9652650; 9594939; 9589164; 9578269; 9576169; 9576158; 9572284; 9558386; 9554384; 9519814; 9497092; 9489555; 9485802; 9477856; 9465970; 9438867; 9418270; 9384378; 9383848; 9367722; 9355288; 9323969; 9313377; 9305199; 9298964; 9280693; 9277668; 9250712; 9235737; 9231644; 9224025; 9208367; 9158952; 9123479; 9104930; 9092686; 9092682; 9092654; 9064168; 9064167; 9058527; 9058526; 9047359; 8985461; 8978985; 8919654; 8916789; 8915444; 8844822; 8794526; 8794520; 8752766; 8733660; 8720785; 8720784; 8720781; 8708236; 8636212; 8628015; 8622303; 8596542; 8583924; 8556177; 8517271; 8479992; 8387881; 8373108; 8366005; 8317105; 8297511; 8296754; 8292183; 8281993; 8162218; 8157175; 8157174; 8141784; 8132731; 8127992; 8104686; 8100331; 8087588; 8065443; 8052057; 8014354; 8011585; 8002188; 7997489; 7988053; 7980471; 7967209; 7950583; 7946493; 7922089; 7900839; 7874485; 7861936; 7854384; 7845563; 7845561; 7845559; 7841533; 7815121; 7780089; 7770799; 7735737; 7712666; 7699227; 7681799; 7654461; 7637433; 7637432; 7637430; 7611064; 7607581; 7604175; 7600687; 7580395; 7575167; 7568628; 7552863; 7546951; 7543752; 7540425; 7527206; 7503498; 7494063; 7490778; 7490774; 7487917; 7484666; 7469835; 7464877; 7428998; 7416125; 7407109; 7383997; 7360706; 7357325; 7331523; 7320431; 7299986; 7293714; 7284705; 7281661; 7278575; 7270272; 7267282; 7237722; 7225989; 7225988; 7216810; 7213762; 7185817; 7178733; 7128266; 7090132	1
